x,y,distance,angle,is_header,is_volley,is_big_chance,is_penalty,is_free_kick,defenders_in_cone,gk_set,centrality,goal,dist_angle,match_id,competition
112.2,43.5,8.549,0.8298,1,0,1,0,0,3,1,0.912,0,7.094,3857284,WC 2022
117.7,49.5,9.774,0.2273,0,0,0,0,0,1,1,0.762,0,2.222,3857284,WC 2022
109.2,36.3,11.416,0.6471,0,1,1,0,0,2,1,0.907,0,7.388,3857284,WC 2022
113.4,46.3,9.124,0.6656,0,1,1,0,0,2,1,0.843,0,6.073,3857284,WC 2022
112.8,24.4,17.181,0.2034,0,0,0,0,0,0,1,0.61,0,3.496,3857284,WC 2022
112.1,41.5,8.041,0.9147,0,0,1,0,0,2,1,0.963,1,7.355,3857284,WC 2022
115.5,39.4,4.54,1.4434,1,0,1,0,0,2,1,0.985,0,6.553,3857284,WC 2022
117.7,50.2,10.456,0.1947,0,0,0,0,0,0,1,0.745,1,2.035,3857284,WC 2022
106.9,41.0,13.138,0.5897,1,0,0,0,0,2,1,0.975,0,7.748,3857284,WC 2022
86.2,37.2,33.916,0.234,0,0,0,0,0,5,1,0.93,0,7.937,3857284,WC 2022
100.3,40.9,19.721,0.3999,0,1,0,0,0,1,1,0.978,0,7.886,3857284,WC 2022
116.5,31.6,9.1,0.3969,0,1,0,0,0,2,1,0.79,0,3.611,3857284,WC 2022
92.6,52.0,29.913,0.2445,0,0,0,0,0,1,1,0.7,0,7.312,3857254,WC 2022
114.0,54.8,15.97,0.1982,0,0,0,0,0,1,1,0.63,0,3.165,3857254,WC 2022
93.4,44.5,26.978,0.2905,0,0,0,0,0,4,1,0.887,0,7.837,3857254,WC 2022
114.7,29.6,11.673,0.339,1,0,0,0,0,2,1,0.74,0,3.957,3857254,WC 2022
115.3,32.5,8.851,0.5427,0,1,1,0,0,1,1,0.812,0,4.804,3857254,WC 2022
99.7,30.3,22.498,0.3199,0,1,0,0,0,2,1,0.758,0,7.198,3857254,WC 2022
95.4,19.0,32.344,0.1888,0,0,0,0,0,4,1,0.475,0,6.105,3857254,WC 2022
111.4,49.3,12.667,0.4445,0,1,0,0,0,4,1,0.768,0,5.63,3857254,WC 2022
115.0,52.2,13.185,0.2482,0,0,0,0,0,2,1,0.695,0,3.272,3857254,WC 2022
112.0,44.9,9.381,0.7266,0,0,1,0,0,0,1,0.878,0,6.816,3857254,WC 2022
99.8,40.9,20.22,0.3903,0,1,0,0,0,9,1,0.978,0,7.891,3857254,WC 2022
112.1,47.5,10.893,0.5518,1,0,1,0,0,0,1,0.812,0,6.011,3857254,WC 2022
114.7,48.7,10.187,0.45,0,1,1,0,0,0,1,0.782,0,4.584,3857254,WC 2022
92.2,49.3,29.314,0.2578,0,0,0,0,0,6,1,0.768,0,7.559,3857254,WC 2022
99.5,39.6,20.504,0.3853,0,1,0,0,0,7,1,0.99,0,7.899,3857254,WC 2022
103.9,36.4,16.498,0.4659,0,1,0,0,0,6,1,0.91,0,7.686,3857254,WC 2022
117.0,35.0,5.831,0.9273,1,0,1,0,0,0,1,0.875,0,5.407,3857254,WC 2022
99.2,36.8,21.045,0.3717,0,0,0,0,0,4,1,0.92,0,7.822,3857254,WC 2022
117.4,37.0,3.97,1.5823,1,0,1,0,0,2,1,0.925,0,6.282,3857254,WC 2022
118.2,43.9,4.295,1.4023,1,0,1,0,0,1,1,0.903,0,6.023,3857254,WC 2022
102.5,24.2,23.577,0.2537,0,0,0,0,0,3,1,0.605,0,5.982,3857254,WC 2022
114.4,36.8,6.45,1.0517,1,0,1,0,0,2,1,0.92,0,6.783,3857254,WC 2022
95.0,30.2,26.852,0.2764,0,0,0,0,0,2,1,0.755,0,7.422,3857254,WC 2022
108.8,46.4,12.9,0.5373,1,0,0,0,0,5,1,0.84,0,6.931,3857254,WC 2022
110.6,37.2,9.808,0.7532,1,0,1,0,0,6,1,0.93,0,7.388,3857265,WC 2022
